DATE,XAUUSD
2025-10-24,4114.095
2025-10-27,3981.985
2025-10-28,3953.0
2025-10-29,3930.595
2025-10-30,4024.525
2025-10-31,4002.81
2025-11-03,4001.605
2025-11-04,3932.1
2025-11-05,3980.115
2025-11-06,3977.14
2025-11-07,4001.275
2025-11-10,4115.41
2025-11-11,4126.505
2025-11-12,4195.21
2025-11-13,4171.745
2025-11-14,4085.805
2025-11-17,4045.655
2025-11-18,4067.425
2025-11-19,4077.85
2025-11-20,4077.535
2025-11-21,4065.01
2025-11-24,4133.975
2025-11-25,4130.55
2025-11-26,4163.575
2025-11-27,4158.8
2025-11-28,4215.82
2025-12-01,4232.29
2025-12-02,4205.72
2025-12-03,4203.115
2025-12-04,4208.74
2025-12-05,4198.685
2025-12-08,4190.66
2025-12-09,4207.915
2025-12-10,4228.775
2025-12-11,4279.255
2025-12-12,4299.435
2025-12-15,4304.91
2025-12-16,4302.225
2025-12-17,4337.83
2025-12-18,4332.59
2025-12-19,4338.765
2025-12-22,4443.74
2025-12-23,4484.55
2025-12-24,4479.415
2025-12-26,4533.21
2025-12-29,4332.56
2025-12-30,4339.405
2025-12-31,4322.61
